"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
           0,      -4.051490627,      -3.260730774,      -3.680443781,      -3.460930371,       3.019556486,               2.4,               2.4,      0.1043830758,        1.02360741,      0.9866604007
           1,      -4.340764616,      -3.540084645,      -3.767759836,      -3.777551907,       2.648765108,              2.88,              2.88,      0.1290442577,       1.102418119,       1.097523772
           2,      -4.613826247,      -3.663225828,      -3.838360338,      -4.060084841,       2.346280084,             3.456,             3.456,      0.1437223539,       1.155218414,        1.17047262
           3,      -4.657894729,       -3.35738332,      -3.653724108,      -4.313170936,       2.141558558,            4.1472,            4.1472,      0.1496888708,       1.183694495,        1.20838374
           4,      -4.667882615,       -3.50020006,       -3.47016329,      -4.540759783,       1.980220351,           4.97664,           4.97664,      0.1477653144,       1.188620766,       1.213150341
           5,      -4.722716492,      -3.373354982,      -3.173141668,      -4.745735862,       2.005843182,          5.971968,          5.971968,      0.1409147524,        1.17936728,       1.199761079
           6,      -4.789409859,      -3.416037461,       -3.03145089,      -4.930444045,       2.294559859,         7.1663616,         7.1663616,      0.1310032966,       1.164773489,       1.182330264
           7,      -4.839181049,      -3.138127456,      -2.804671617,      -5.096344828,       2.391103368,        8.59963392,        8.59963392,      0.1198110455,       1.150731273,       1.168406433
           8,      -4.339673931,      -2.557933778,      -2.478198566,      -5.243045404,       2.781122724,        10.3195607,        10.3195607,      0.1089001188,       1.150890182,       1.178812174
           9,      -4.298488445,     -0.7287411144,     -0.4520066774,      -3.479467486,       4.047631955,       12.38347284,       12.38347284,      0.3217826441,        1.50014456,        1.53012048
          10,      -4.530945352,       -2.25305872,      -2.164715066,      -5.346399125,        2.85841188,       14.86016741,       14.86016741,        1.09540927,       2.613865798,       2.581786284
          11,      -4.543530512,      -2.087530969,        -2.0192424,      -5.377474451,       2.883907956,        17.8322009,        17.8322009,       2.152286468,        4.07406828,        3.93837626
          12,      -4.654703319,      -1.785077674,      -1.892060857,      -5.367725011,       3.478343849,       21.39864108,       21.39864108,       2.876501945,       5.050443304,       4.832086488
          13,      -4.799872139,      -2.947446004,      -2.386093949,      -5.439965937,       1.988743098,       25.67836929,       25.67836929,        1.26005206,       2.815882106,       2.790957721
          14,      -4.695969863,      -3.332722336,       -3.00212959,      -5.472469185,       1.688160571,       30.81404315,       30.81404315,      0.4807437143,       1.728875963,        1.78400281
          15,      -4.976032321,      -3.535125867,      -3.511693346,      -5.511524586,       1.397666256,       36.97685178,       36.97685178,      0.2319887629,       1.366545426,       1.437393525
          16,      -5.285401285,      -3.808688805,      -3.726541623,      -5.556872588,       1.125890897,       44.37222213,       44.37222213,      0.1724341986,       1.265464905,       1.331417484
          17,      -5.376402775,      -3.932836114,       -3.92997632,      -5.607991003,      0.8868440589,       53.24666656,       53.24666656,      0.1571499467,       1.226558306,       1.284722363
          18,      -5.558713709,      -4.088527605,      -4.128505221,       -5.66360643,      0.6860740081,       63.89599987,       63.89599987,      0.1509463125,       1.213053405,       1.270177507
          19,      -5.656952016,      -4.201738597,       -4.21752315,      -5.723095579,      0.5150480661,       76.67519985,       76.67519985,      0.1387433612,        1.19957105,       1.258932047
          20,       -5.76102192,      -4.275980254,      -4.293230822,      -5.786339442,      0.3697149611,       92.01023982,       92.01023982,      0.1284780973,       1.194622341,       1.253400584
          21,      -5.800822225,      -4.346868449,      -4.349244812,      -5.853323151,      0.2641310907,       9.201023982,       9.201023982,      0.1254611997,       1.198326326,       1.251032472
          22,       -5.78384652,      -4.421528764,      -4.433263316,      -5.925184616,    -0.02635723626,       11.04122878,       11.04122878,      0.1261833911,       1.197836003,       1.247344589
          23,      -5.871844017,      -4.441206543,      -4.512188655,       -5.93106951,    -0.03356802486,       13.24947453,       13.24947453,      0.1262686868,        1.19758717,       1.245202892
          24,      -5.888357757,      -4.452503461,      -4.550518537,       -5.93801046,    -0.04183322064,       15.89936944,       15.89936944,      0.1268553036,        1.19939268,       1.246148373
          25,      -5.891312397,      -4.466803185,      -4.570295298,      -5.946188424,    -0.05316444487,       19.07924333,       19.07924333,      0.1281574198,        1.20238667,        1.24835063
